group,model,n,swap_consistency_rate,ci_lower,ci_upper
overall,deepseek/deepseek-v3.2,45,0.7777777777777778,0.6444444444444445,0.8888888888888888
lang=de,deepseek/deepseek-v3.2,19,0.7894736842105263,0.5789473684210527,0.9473684210526315
lang=fr,deepseek/deepseek-v3.2,16,0.875,0.6875,1.0
lang=ru,deepseek/deepseek-v3.2,10,0.6,0.3,0.9
overall,google/gemini-3-flash-preview,45,0.9111111111111111,0.8222222222222222,0.9777777777777777
lang=de,google/gemini-3-flash-preview,19,0.8947368421052632,0.7368421052631579,1.0
lang=fr,google/gemini-3-flash-preview,16,0.9375,0.8125,1.0
lang=ru,google/gemini-3-flash-preview,10,0.9,0.7,1.0
